Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$23.48,0.31,1.338%,38746978.00,United States,,7892,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.7385,-0.068,-8.431%,89025149.00,Canada,2015,4218523,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$37.10,3.44,10.22%,123873672.00,United States,1988,40381,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$11.00,-1.85,-14.397%,17004724.00,United States,,220277,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$28.99,0.99,3.536%,122983813.00,United States,,4252,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.98,0.06,0.673%,455750966.00,United States,,32791,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.16,-0.09,-4.00%,81412662.00,,2018,339553,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.26,-0.18,-7.377%,89699427.00,United States,,2615723,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$9.12,-0.06,-0.654%,23291769.00,United States,2014,18851,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.63,-0.24,-12.834%,51719501.00,United States,,1359135,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.58,-0.47,-15.41%,59895567.00,China,,559078,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.68,-0.15,-8.197%,310892400.00,United States,,3950104,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.59,-0.38,-12.795%,14920990.00,United States,,143850,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$28.18,-4.99,-15.044%,194614941.00,United States,2020,460372,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$14.15,-0.92,-6.105%,192126507.00,Canada,,701504,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.70,-0.18,-3.061%,117171326.00,United States,,10649,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.55,-0.04,-2.516%,138831457.00,Canada,,5700733,Basic Industries,Precious Metals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.15,-0.11,-1.332%,110730179.00,United States,,498134,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.8441,0.0053,0.632%,137140599.00,United States,,4737529,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.99,-0.77,-16.176%,15462970.00,United States,,317741,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.94,0.00,0.00%,410905989.00,Canada,,1546128,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$11.01,-0.09,-0.811%,178405677.00,,,11510,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.65,-0.45,-1.402%,168535965.00,United States,,71289,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.8695,0.0095,0.037%,,United States,,2180,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.50,-0.3711,-1.492%,45536852.00,United States,,7739,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.64,-0.24,-12.766%,19018345.00,United States,,788401,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$1.94,-0.65,-25.097%,34863509.00,Canada,,2948083,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$26.51,0.51,1.962%,395756258.00,United States,,38057,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$8.12,-0.4993,-5.793%,327445715.00,,2018,58937,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$4.21,-0.22,-4.966%,52675377.00,United States,,12905,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$12.64,-0.36,-2.769%,154211817.00,,2018,103180,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$19.90,0.10,0.505%,245692365.00,,,21962,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.84,0.49,4.317%,261635028.00,,2014,476398,Consumer Services,Real Estate Investment Trusts
BRG^A,Bluerock Residential Growth REIT Inc. 8.250% Series A Cumulative Redeemable Preferred Stock ($0.01 par value per share),$25.31,0.00,0.00%,,,,581,,
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.76,-0.11,-0.425%,,,,1892,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.99,0.19,0.736%,,,,400,,
BRN,Barnwell Industries Inc. Common Stock,$3.37,-0.928,-21.591%,27894029.00,United States,,454964,Energy,Oil & Gas Production
